x,::protected::p,c,xb,::protected::pb,cb,::label::label
1.7801132053453297,1.743279890072868,1.230235984779011,1,1,1,1
-0.2384683256734718,-0.1703466827254583,0.465461953153033,0,0,1,0
-0.215202545140857,0.5033732324744911,-0.4821213342791803,0,1,0,0
-0.3091248520436053,1.2424825322024142,0.4045855326719118,0,1,1,1
-0.0709596643935565,0.8730044635013049,-1.2563149306618016,0,1,0,0
1.2188134167476488,-1.0414139207354207,-1.882251160238772,1,0,0,1
-1.0626412965111796,-1.2243657232171854,-1.4395805657329035,0,0,0,0
-0.5649769281378085,-1.4358793880526026,-1.8189349967045203,0,0,0,0
-0.7623136096393746,0.1784277076055109,-1.1999802730028777,0,1,0,0
-1.935101291317966,-1.1276755236814844,-0.0769696025551335,0,0,0,0
-0.8564959063822388,-1.250637245622252,-1.2133732226460834,0,0,0,0
1.992410174820403,1.0685245018580591,0.1597249501003833,1,1,1,1
-0.3450887061615323,0.1190396150415238,-0.4547887567892368,0,1,0,0
-0.995431870803856,0.6223565703061672,-0.4750813664475827,0,1,0,0
1.8456298022610007,1.318754076971734,0.0522320054777176,1,1,1,1
-0.0260429857515167,-0.4967253792234576,-0.7378544122882489,0,0,0,0
-1.1410592968545723,-0.0181339967873783,1.1413922761826294,0,0,1,0
-1.389028670295697,-0.8069336583228935,-0.5073099652279499,0,0,0,0
0.2281978233071553,0.3271982034782922,1.1057969752864534,1,1,1,1
0.4545043182604354,-0.0039056180456539,-0.7724443564953531,1,0,0,0
0.7921967542517007,1.0131715883293562,0.428659510844415,1,1,1,1
-0.4957382476798319,0.0998804091866583,0.8520240990370852,0,1,1,0
-2.521720299249305,-2.1419867627949585,-1.1813689525232574,0,0,0,0
1.1234180900604334,1.4396762640420795,0.7999705257471296,1,1,1,1
-0.3109959697479769,-1.0429071010576143,-0.8628223807516955,0,0,0,1
0.9727057063476586,0.4383857263007152,-1.1037871279610765,1,1,0,1
0.6963767624136802,0.4033645578571295,-0.4845472441334651,1,1,0,1
0.6331856671922138,0.3984052959989201,0.2144930615618407,1,1,1,1
1.6894326352369782,1.074261402009452,0.4097329777257713,1,1,1,1
0.8950628686263767,1.218187617536564,1.5189246797804898,1,1,1,1
-0.5144641770173358,-1.42311642116842,-0.0703213398356886,0,0,0,0
-1.0992966667363204,0.4982599452563677,0.0171176559095561,0,1,1,0
0.6306123269717041,1.315693293081264,-0.424692135502296,1,1,0,1
0.8990551535787129,-0.13206123852711,-0.4070217942991758,1,0,0,1
1.0130648241240998,0.772304545167964,0.6307581489048143,1,1,1,1
0.1944002136269555,0.7757977264816984,0.0546116077577098,1,1,1,0
-0.7263546522114488,0.2030704848745928,-0.7324957800077632,0,1,0,0
0.9612187084737648,1.1240210014472385,0.9088428657054392,1,1,1,1
-0.1467683466868243,-0.7225351389150649,-0.5699723664908714,0,0,0,0
-0.0272405128190528,0.1723733941751833,-0.1393424857244697,0,1,0,0
-1.81903549307641,-1.0672236960557564,1.682482809377484,0,0,1,0
-0.0591502128689293,1.0927625967371308,1.6678450035200576,0,1,1,1
-2.167700589644617,-0.0761249196282086,0.3540591257007332,0,0,1,0
0.5500756176991016,-0.6704969453539414,-1.4289200472987014,1,0,0,0
-1.8660960982065693,-1.500037036761563,-0.8479333187045797,0,0,0,0
0.0197552776930597,-1.2363691325288388,-1.686222497982333,1,0,0,0
-2.0121588270555626,-1.033339753332974,1.428629837440167,0,0,1,0
-1.7479667447384568,-0.2683398473301376,-0.0474851973090236,0,0,0,0
-0.061966329618526,-0.4901525233804583,-0.3533871390985202,0,0,0,0
-1.4728780119426417,-0.9949972203285946,0.5403172681258233,0,0,1,0
0.0049479255160259,-0.7302624719330287,-0.9994434935322026,1,0,0,0
0.6934351074939075,-0.979214074749604,0.4341699123288752,1,0,1,1
-1.3867828300330716,-0.4295436017351965,-1.0477065388661946,0,0,0,0
-0.9677983063043352,-1.0274780674831103,-0.7041135363528406,0,0,0,0
0.7302480917060612,-0.0379324898503534,-0.2923328905709877,1,0,0,1
0.0415522077091309,-0.52380119850437,-0.9961522360350444,1,0,0,0
-0.0068322595154824,-0.7546725799950652,-1.2237870848776076,0,0,0,0
1.9722176374325928,1.219161141620519,1.4313832518765108,1,1,1,1
